LeftFlank,Trait,RightFlank,XXCentiMorgans,XYCentiMorgans,LodScore
,RADIN,PGM1,-100.0,-100.0,1.1705486570274146
,RADIN,PGM1,-88.88999999999999,-88.88999999999999,1.456533257984839
,RADIN,PGM1,-77.78,-77.78,1.8048413104478107
,RADIN,PGM1,-66.67,-66.67,2.219466150518617
,RADIN,PGM1,-55.559999999999995,-55.559999999999995,2.693688101480765
,RADIN,PGM1,-44.449999999999996,-44.449999999999996,3.197516902809698
,RADIN,PGM1,-33.34,-33.34,3.6500110368425345
,RADIN,PGM1,-22.23,-22.23,3.838206362894937
,RADIN,PGM1,-11.120000000000005,-11.120000000000005,3.040355426117061
,RADIN,PGM1,-0.01,-0.01,-23.470805833762515
PGM1,RADIN,RH,0.01,0.01,-21.84376012929837
PGM1,RADIN,RH,6.6965155795885325,6.6965155795885325,3.9992471407222334
PGM1,RADIN,RH,13.383031159177067,13.383031159177067,6.067502595478868
PGM1,RADIN,RH,20.0695467387656,20.0695467387656,7.012735894955557
PGM1,RADIN,RH,26.75606231835413,26.75606231835413,7.549610014624585
PGM1,RADIN,RH,33.44257789794266,33.44257789794266,7.872847704826369
PGM1,RADIN,RH,40.1290934775312,40.1290934775312,8.01403241746412
PGM1,RADIN,RH,46.81560905711973,46.81560905711973,7.8652703502130965
PGM1,RADIN,RH,53.50212463670826,53.50212463670826,6.940818469000728
PGM1,RADIN,RH,60.1886402162968,60.1886402162968,-11.546433015440693
RH,RADIN,,60.20864021629679,60.20864021629679,-12.174045117441693
RH,RADIN,,71.31864021629679,71.31864021629679,6.413323672457524
RH,RADIN,,82.42864021629678,82.42864021629678,6.113589737902627
RH,RADIN,,93.53864021629678,93.53864021629678,5.2615263468372
RH,RADIN,,104.64864021629678,104.64864021629678,4.356767158400459
RH,RADIN,,115.75864021629681,115.75864021629681,3.5366449586442052
RH,RADIN,,126.86864021629678,126.86864021629678,2.840879176021195
RH,RADIN,,137.9786402162968,137.9786402162968,2.2706712292726876
RH,RADIN,,149.08864021629677,149.08864021629677,1.8116530124339363
RH,RADIN,,160.19864021629678,160.19864021629678,1.445149443569379
